DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
28973553Z,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,998.55,No,Grup A,Mia Schneider Fischer,No,1976-10-22,49,0.05
14773153R,Lea,Fischer,Alemanya,Berlín,9,9,1986,Dona,1438.5,Sí,Grup A,Lea Fischer,No,1986-09-09,39,0.05
23266650S,Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1379.7,No,Grup A,Lea Müller,No,2003-04-14,23,0.05
74158500N,Laura,Schneider,Alemanya,Hamburg,25,1,1957,Dona,1436.4,No,Grup A,Laura Schneider,No,1957-01-25,69,0.05
23128433S,Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1344.0,No,Grup A,Anna Müller,No,1956-03-18,70,0.05
90109014Q,Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,804.3,No,Grup A,Mia Schneider Müller,No,1957-03-28,69,0.05
95605596P,Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Home,1651.65,No,Grup A,Lukas Müller Schmidt,No,2005-02-23,21,0.05
18876645B,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1378.65,No,Grup A,Matías Gómez Álvarez,No,1955-12-04,70,0.05
74694535Z,Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,802.2,No,Grup A,Lucía Fernández,No,1953-08-08,72,0.05
91347406Y,Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,,795.9,No,Grup A,Lucía Fernández,No,1978-11-28,47,0.05
33214782A,Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,,1107.75,No,Grup A,Matías Rodríguez,No,1950-06-12,75,0.05
83374173K,Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Dona,1095.15,No,Grup A,Florencia Álvarez,No,1961-11-14,64,0.05
26130098V,Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Home,943.95,Sí,Grup A,Lucas Álvarez,No,1978-08-02,47,0.05
72582805W,Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Home,931.35,Sí,Grup A,Juan Álvarez,No,1968-02-21,58,0.05
76096673N,Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Altres,1198.05,No,Grup A,Lucía Álvarez,No,1972-08-10,53,0.05
31385792P,Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Home,1315.65,No,Grup A,Matías Fernández,No,1953-04-28,73,0.05
21674643A,Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Dona,1567.65,Sí,Grup A,Julieta Fernández,No,1961-01-28,65,0.05
23645745S,Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Dona,1042.65,No,Grup A,Martina Gómez,No,1963-12-05,62,0.05
89545864F,Tomás,Gómez,Argentina,Còrdova,19,1,1996,Home,1159.2,Sí,Grup A,Tomás Gómez,No,1996-01-19,30,0.05
61343247E,Florencia,Gómez,Argentina,Còrdova,8,7,1984,,1673.7,No,Grup A,Florencia Gómez,No,1984-07-08,41,0.05
57516393C,Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Dona,718.2,Sí,Grup A,Lucía Fernández Álvarez,No,1973-03-11,53,0.05
25883422V,Tomás,Fernández Fernández,Argentina,Còrdova,13,6,1964,Home,1090.95,No,Grup A,Tomás Fernández Fernández,No,1964-06-13,61,0.05
96617848Y,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,No,Grup A,Valentina Gutiérrez Castro,No,2001-01-02,25,0.05
24213568B,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1302.0,Sí,Grup A,Felipe Torres,No,1970-03-19,56,0.05
18968118M,Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1444.8,No,Grup A,Felipe Gutiérrez Torres,No,2004-10-25,21,0.05
57512928A,Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,1044.75,No,Grup A,Laura Castro Gutiérrez,No,1950-02-18,76,0.05
