DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
37399141L,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1830.92,Sí,Grup B,Laura Schneider Fischer,No,1958-02-02,68,0.035
37368317L,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2083.46,No,Grup B,Lea Schneider Schneider,No,2005-10-23,20,0.035
21390098Z,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1611.5,Sí,Grup B,Mia Fischer,No,1950-08-11,75,0.035
60982309S,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2113.47,No,Grup B,Lukas Müller Fischer,No,1971-03-28,55,0.035
57692936L,Laura,Schmidt,Alemanya,Hamburg,3,5,1956,,1891.98,Sí,Grup B,Laura Schmidt,No,1956-05-03,70,0.035
19508494Q,Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Home,1527.66,Sí,Grup B,Jonas Schneider Schmidt,No,1983-08-15,42,0.035
43756083N,Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1724.31,No,Grup B,Mia Fischer,No,1953-09-08,72,0.035
70945038M,Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1730.52,No,Grup B,Leon Schneider,No,1981-05-05,45,0.035
90216535S,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1337.22,Sí,Grup B,Martina Rodríguez Gómez,No,1978-03-10,48,0.035
44215821L,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1222.33,No,Grup B,Julieta Rodríguez,No,1979-07-24,46,0.035
18876694Z,Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Home,1461.42,Sí,Grup B,Juan Álvarez Fernández,No,1991-08-11,34,0.035
71461971W,Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Home,1728.45,No,Grup B,Lucas Álvarez,No,1984-03-22,42,0.035
49561814F,Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Home,1506.96,No,Grup B,Tomás Gómez,No,1972-10-03,53,0.035
30532432L,Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Home,1514.2,Sí,Grup B,Matías Rodríguez Gómez,No,1957-09-28,68,0.035
33939128K,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2152.8,Sí,Grup B,Matías Gómez Gómez,No,2002-08-18,23,0.035
14889781M,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1978.92,Sí,Grup B,Lucas Álvarez Álvarez,No,1981-05-17,45,0.035
72168409M,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,2061.72,Sí,Grup B,Lucas Fernández Álvarez,No,1993-04-27,33,0.035
19039929Q,Matías,Álvarez,Argentina,Còrdova,24,8,1954,Home,1745.01,Sí,Grup B,Matías Álvarez,No,1954-08-24,71,0.035
73118029L,Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Dona,1288.57,No,Grup B,Florencia Gómez Fernández,No,1992-07-12,33,0.035
23385179B,Florencia,Fernández,Argentina,Còrdova,14,10,1979,Dona,1251.31,No,Grup B,Florencia Fernández,No,1979-10-14,46,0.035
69273831N,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1959.26,No,Grup B,Sara Gutiérrez,No,1970-02-26,56,0.035
66171387W,Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1226.47,No,Grup B,Valentina Rojas,No,1959-09-06,66,0.035
21135917V,Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2111.4,No,Grup B,Valentina Torres,No,1968-01-14,58,0.035
62035858J,Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1577.34,Sí,Grup B,Sara Castro,No,1974-12-04,51,0.035
43658248F,Daniela,Castro,Colòmbia,Bogotà,9,3,1980,Dona,1728.45,Sí,Grup B,Daniela Castro,No,1980-03-09,46,0.035
28967396E,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1506.96,No,Grup B,Daniel Gutiérrez Castro,No,1976-05-04,50,0.035
17164182B,Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1380.69,Sí,Grup B,Sara Torres Castro,No,1992-02-25,34,0.035
78223675H,Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2316.33,Sí,Grup B,Santiago Gutiérrez Torres,No,1959-12-04,66,0.035
81398413Q,Laura,Castro Torres,Colòmbia,Medellín,6,6,1997,Dona,1488.33,No,Grup B,Laura Castro Torres,No,1997-06-06,28,0.035
96850216C,Valentina,Gutiérrez Rojas,Colòmbia,Medellín,2,10,1959,Dona,1788.48,Sí,Grup B,Valentina Gutiérrez Rojas,No,1959-10-02,66,0.035
21977779F,Valentina,Torres Rojas,Colòmbia,Medellín,22,10,1957,Dona,1491.44,No,Grup B,Valentina Torres Rojas,No,1957-10-22,68,0.035
74222289K,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1488.33,No,Grup B,Toni Castells Romero,Si,1961-04-13,65,0.035
29801291B,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2175.57,Sí,Grup B,Toni Castells Martínez,Si,1981-01-10,45,0.035
59690898N,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1550.43,Sí,Grup B,Oriol López Ferrer,Si,1969-11-03,56,0.035
21762997G,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1524.55,No,Grup B,Pau Sánchez,Si,1962-03-13,64,0.035
53012171X,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2129.0,Sí,Grup B,Laia Sánchez Castells,Si,1970-11-21,55,0.035
21050694P,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1545.26,No,Grup B,Toni Sánchez,Si,1987-01-01,39,0.035
60287803J,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1555.6,Sí,Grup B,Pau Ferrer,Si,1991-03-15,35,0.035
14688639J,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1904.4,No,Grup B,Toni Castells Ferrer,Si,1974-11-15,51,0.035
56867791S,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1446.93,No,Grup B,Marc Castells Sánchez,Si,2000-06-24,25,0.035
92774049Y,Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1512.14,No,Grup B,Oriol Romero García,Si,1972-09-05,53,0.035
20520614Y,Núria,Ferrer,Espanya,Barcelona,9,6,1959,,2029.63,No,Grup B,Núria Ferrer,Si,1959-06-09,67,0.035
47660164G,Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2383.6,No,Grup B,Jordi Romero Martínez,Si,1983-06-11,42,0.035
37655961A,Núria,García,Espanya,Barcelona,2,5,1989,Dona,1683.94,Sí,Grup B,Núria García,Si,1989-05-02,37,0.035
68186758D,Carla,García,Espanya,Barcelona,6,10,2001,Dona,2030.67,Sí,Grup B,Carla García,Si,2001-10-06,24,0.035
59779704A,Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1433.48,Sí,Grup B,Clara Romero López,Si,1985-12-08,40,0.035
97299170Q,Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1382.76,Sí,Grup B,Marta Romero Ferrer,Si,1962-02-07,64,0.035
79349076S,Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1558.71,No,Grup B,Núria Martínez Ferrer,Si,1991-11-07,34,0.035
50351415W,Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1187.14,Sí,Grup B,Núria Ferrer,Si,2001-09-19,24,0.035
63487190Q,Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1533.87,No,Grup B,Laia Castells López,Si,1969-11-15,56,0.035
89757860E,Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1417.95,Sí,Grup B,Eva Castells Martínez,Si,1996-07-15,29,0.035
25439397A,Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1314.45,No,Grup B,Pau Ferrer García,Si,1982-03-21,44,0.035
19721783S,Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,2032.74,No,Grup B,Núria Ferrer,Si,1983-12-07,42,0.035
15336274M,Laia,López Sánchez,Espanya,Barcelona,11,5,1964,Dona,2163.15,No,Grup B,Laia López Sánchez,Si,1964-05-11,62,0.035
