DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
83274277X,Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2513.28,No,Grup C,Anna Müller,No,1987-01-01,39,0.02
60161784X,Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,,2075.7,Sí,Grup C,Laura Schmidt Müller,No,1987-06-15,38,0.02
61558898W,Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2491.86,Sí,Grup C,Anna Fischer,No,1985-05-14,41,0.02
96890044J,Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Home,2010.42,No,Grup C,Felix Schmidt Schmidt,No,1951-10-20,74,0.02
24894099R,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2635.68,Sí,Grup C,Tomás Rodríguez Fernández,No,1986-04-20,40,0.02
13327616P,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2530.62,No,Grup C,Tomás Fernández Álvarez,No,1958-09-08,67,0.02
35577350W,Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1718.7,Sí,Grup C,Juan Gómez Gómez,No,1994-10-09,31,0.02
58619725P,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,Sí,Grup C,Valentina Castro,No,1951-09-02,74,0.02
75892043S,Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2709.12,Sí,Grup C,Sara Gutiérrez,No,1954-06-12,71,0.02
17523109M,Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2694.84,No,Grup C,Daniel Gutiérrez Castro,No,1951-07-08,74,0.02
43195593E,Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2070.6,Sí,Grup C,Daniela Castro,No,1954-02-05,72,0.02
45323039E,Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2738.7,No,Grup C,Andrés Gutiérrez Rojas,No,1986-03-18,40,0.02
25654945Y,Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2444.94,No,Grup C,Andrés Rojas Castro,No,1974-09-20,51,0.02
80887497Q,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2691.78,No,Grup C,Toni Ferrer,Si,1985-04-12,41,0.02
96105165A,Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2501.04,Sí,Grup C,Marta Martínez Castells,Si,1977-07-16,48,0.02
93244065C,Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2597.94,Sí,Grup C,Jordi García Romero,Si,1952-05-28,74,0.02
26427399L,Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2252.16,No,Grup C,Pau Castells,Si,1986-01-22,40,0.02
53518484J,Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2779.5,No,Grup C,Joan Martínez,Si,1999-09-14,26,0.02
59909991M,Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1977.78,No,Grup C,Núria Martínez,Si,1981-06-19,44,0.02
55213721K,Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2844.78,No,Grup C,Joan López Ferrer,Si,1951-06-21,74,0.02
34121407E,Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1723.8,Sí,Grup C,Arnau López Sánchez,Si,1951-05-22,75,0.02
66268793B,Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2835.6,Sí,Grup C,Oriol Castells,Si,1950-07-08,75,0.02
18736805D,Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1796.22,No,Grup C,Laia Romero,Si,1962-04-17,64,0.02
53071392K,Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2059.38,Sí,Grup C,Oriol Martínez,Si,2002-07-09,23,0.02
