DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
44060014R,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2974.32,Sí,Grup D,Jonas Schneider,No,1985-11-22,40,0.08
68512981B,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,3222.72,No,Grup D,Leon Schneider Schneider,No,1977-10-16,48,0.08
79911049R,Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2881.44,Sí,Grup D,Lea Schneider,No,1950-09-22,75,0.08
26634596X,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,3000.24,No,Grup D,Laura Schneider Müller,No,1990-11-28,35,0.08
19313369G,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3255.12,No,Grup D,Florencia Rodríguez Álvarez,No,1999-11-27,26,0.08
33484869X,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2976.48,No,Grup D,Jordi Sánchez,Si,1981-06-06,44,0.08
94898766F,Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3429.0,No,Grup D,Joan Romero,Si,1969-04-26,57,0.08
19631537S,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,3051.0,Sí,Grup D,Laia Ferrer,Si,1987-12-21,38,0.08
19356603P,Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2897.64,No,Grup D,Marta Castells,Si,2003-10-02,22,0.08
13080692S,Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Dona,3130.92,No,Grup D,Eva Ferrer Romero,Si,2005-11-01,20,0.08
31532532F,Laia,Castells,Espanya,Bilbao,19,4,1950,Dona,2643.84,No,Grup D,Laia Castells,Si,1950-04-19,76,0.08
86419307C,Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Dona,2627.64,Sí,Grup D,Eva Castells Romero,Si,1988-07-25,37,0.08
10624826J,Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Dona,3201.12,No,Grup D,Laia Sánchez López,Si,1972-08-05,53,0.08
46470158A,Arnau,Romero,Espanya,Bilbao,26,6,1951,Home,3595.32,Sí,Grup D,Arnau Romero,Si,1951-06-26,74,0.08
65535145H,Pau,Castells,Espanya,Bilbao,20,7,1953,Home,3188.16,No,Grup D,Pau Castells,Si,1953-07-20,72,0.08
26930927E,Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Altres,2819.88,No,Grup D,Laia Castells Ferrer,Si,1953-12-16,72,0.08
