DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
28973553Z,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,998.55,No,Grup A,Mia Schneider Fischer,No,1976-10-22,49,0.05
37399141L,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1830.92,Sí,Grup B,Laura Schneider Fischer,No,1958-02-02,68,0.035
37368317L,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2083.46,No,Grup B,Lea Schneider Schneider,No,2005-10-23,20,0.035
21390098Z,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1611.5,Sí,Grup B,Mia Fischer,No,1950-08-11,75,0.035
44060014R,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2974.32,Sí,Grup D,Jonas Schneider,No,1985-11-22,40,0.08
14773153R,Lea,Fischer,Alemanya,Berlín,9,9,1986,Dona,1438.5,Sí,Grup A,Lea Fischer,No,1986-09-09,39,0.05
23266650S,Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1379.7,No,Grup A,Lea Müller,No,2003-04-14,23,0.05
83274277X,Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2513.28,No,Grup C,Anna Müller,No,1987-01-01,39,0.02
60161784X,Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,,2075.7,Sí,Grup C,Laura Schmidt Müller,No,1987-06-15,38,0.02
60982309S,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2113.47,No,Grup B,Lukas Müller Fischer,No,1971-03-28,55,0.035
74158500N,Laura,Schneider,Alemanya,Hamburg,25,1,1957,Dona,1436.4,No,Grup A,Laura Schneider,No,1957-01-25,69,0.05
57692936L,Laura,Schmidt,Alemanya,Hamburg,3,5,1956,,1891.98,Sí,Grup B,Laura Schmidt,No,1956-05-03,70,0.035
19508494Q,Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Home,1527.66,Sí,Grup B,Jonas Schneider Schmidt,No,1983-08-15,42,0.035
68512981B,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,3222.72,No,Grup D,Leon Schneider Schneider,No,1977-10-16,48,0.08
61558898W,Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2491.86,Sí,Grup C,Anna Fischer,No,1985-05-14,41,0.02
96890044J,Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Home,2010.42,No,Grup C,Felix Schmidt Schmidt,No,1951-10-20,74,0.02
79911049R,Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2881.44,Sí,Grup D,Lea Schneider,No,1950-09-22,75,0.08
23128433S,Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1344.0,No,Grup A,Anna Müller,No,1956-03-18,70,0.05
90109014Q,Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,804.3,No,Grup A,Mia Schneider Müller,No,1957-03-28,69,0.05
43756083N,Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1724.31,No,Grup B,Mia Fischer,No,1953-09-08,72,0.035
70945038M,Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1730.52,No,Grup B,Leon Schneider,No,1981-05-05,45,0.035
26634596X,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,3000.24,No,Grup D,Laura Schneider Müller,No,1990-11-28,35,0.08
95605596P,Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Home,1651.65,No,Grup A,Lukas Müller Schmidt,No,2005-02-23,21,0.05
18876645B,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1378.65,No,Grup A,Matías Gómez Álvarez,No,1955-12-04,70,0.05
74694535Z,Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,802.2,No,Grup A,Lucía Fernández,No,1953-08-08,72,0.05
91347406Y,Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,,795.9,No,Grup A,Lucía Fernández,No,1978-11-28,47,0.05
