id,user_id,iban,pan,pin,cvv,track1,track2,expiring_date,card_type,card_renewal_flag
CcU-2938,275,CA137550525951024363769804,5424465566813633,3257,984,%B8383712448554646^WovsxejDpwiev^86041142?7,%B7653863056044187=8007163336?3,04/27/28,credit,1
CcU-2945,274,CA657195557325315948524978,5142423821948828,9080,887,%B4621311609958661^UftuyfsSeimxn^0610628241?7,%B4149568437843501=5107140330?1,01/27/28,premium_credit,1
CcU-2952,273,CA749863982219203741201012,4556 453 55 5287,4598,438,%B2183285104307501^CddyytcUxwfdq^5907955430?9,%B6778580257827162=69068597400?7,08/29/28,credit,1
CcU-2959,272,CA164763652898476863375896,372461377349375,3583,667,%B7281111956795320^XocddijBckecd^09016253?3,%B4246154489281853=2805223916?8,08/29/28,credit,1
CcU-2966,271,CA913060993220307056913286,448566 886747 7265,4900,130,%B4728932322756223^JhlgvsuFbmwgj^72022894943?7,%B2318571115599881=8908215784?5,04/26/28,credit,1
CcU-2973,270,CA365825223870062682219085,544 58654 54343 384,8760,887,%B4761405253275637^HjnnipoBlejrl^7108515632?1,%B7816169831446746=13102772?9,01/25/28,premium_credit,1
CcU-2980,269,CA341582939756635827639269,402400 7145845969,5075,596,%B7320483593870549^OokzqxrHpased^49017394?3,%B2474313962214151=0412219131?5,05/27/28,credit,1
CcU-2987,268,CA318727359178676930266209,3763 747687 76666,2298,797,%B4750646345146674^PjmlyrfGwwtrf^83051712?6,%B5441935173418615=4103704536?7,10/29/28,debit,1
CcU-2994,267,CA630367980332608711706826,344283273252593,7545,595,%B1583759784015674^GmqoyhtUtoqrn^25078511?7,%B4141467473024349=65068009550?4,01/28/28,credit,1
CcU-3001,266,CA822904201942585117759608,511722 924833 2244,9562,867,%B6227288756728648^AwxilfcFmgvdy^2808804611?8,%B3429355750963453=5305268305?3,01/26/28,debit,1
CcU-3008,265,CA947632339973413620775691,4485744464433884,1856,740,%B7182449430529226^MkoutyhTfdvpo^1708175473?5,%B6235123731781366=9405638166?8,04/25/28,prepaid,1
CcU-3015,264,CA252565035793627037931133,3784 662233 17389,3246,822,%B5776250106724742^QvvzkrcCwrovm^53058424897?4,%B3561372148267521=1905473166?7,01/27/28,credit,1
CcU-3022,263,CA416527702414928039582246,5164 1379 4842 3951,5610,342,%B8456622214332875^XmwxhenXwoxbt^0508295738?5,%B7761154174374063=2304233429?4,04/25/28,debit,1
CcU-3029,262,CA394659123485026764978680,3429 279566 77631,9708,505,%B9882354238385082^HrmhqsnRprjpm^1902708608?3,%B4377026757181186=5802453819?6,08/28/28,credit,1
CcU-3036,261,CA495723663827736300015941,3768 451556 48766,2232,565,%B4814576454466431^IcstszwEpqgfk^9205914186?8,%B7259434322726515=5305460495?3,10/25/28,debit,1
CcU-3043,260,CA868364428945296889946257,455676 6437463635,5969,196,%B6524853618888394^VjjxpyyCbiopy^4406795711?4,%B5469323811685837=24038685?7,06/25/28,credit,1
CcU-3050,259,CA746281218312395429776204,4024007123722,4834,126,%B7784177223537930^NhuwoziEexiwa^9105743857?8,%B2727867073512632=7403690244?5,07/26/28,credit,1
CcU-3057,258,CA976431483157186144645822,3484 621767 21237,6805,848,%B4513246318178918^EbmpsehXroiiy^7102534491?5,%B1725272041127802=5202769798?2,09/25/28,debit,1
CcU-3064,257,CA945921114401136248480847,3467 732741 26810,3865,498,%B7675544533775797^XlxvwhuPwqeek^51032796460?7,%B2536323414661722=08123392228? ,06/25/28,credit,1
CcU-3071,256,CA281284489236174028470667,3464 789562 23352,6625,661,%B8981277622416587^EhdwdwlMapqxc^28062004?3,%B8150826795832177=47081653206?1,08/28/28,premium_credit,1
CcU-3078,255,CA225813131027434554584532,4539 322 74 2377,9405,720,%B8805395627676929^YnqcruwOohnno^6909501308?3,%B7847385332697301=5104451894?1,01/26/28,prepaid,1
CcU-3085,254,CA103460001848465124357723,5266 3346 1135 1687,7241,413,%B8242982826686377^VnaovghMajfgu^7806966887?1,%B2848502349754061=46089897?9,05/28/28,credit,1
CcU-3092,253,CA159915657874799871126878,3488 754223 46253,9417,594,%B2804123689465462^DolminrDnylkw^61072975534?3,%B1237574406214788=4008213842?7,12/28/28,prepaid,1
CcU-3099,252,CA205570115614530298518379,448 55418 98863 789,5612,564,%B5875431253326368^SdyavpeXpeeuj^8403498607?8,%B7204024880651978=6509974687?4,04/28/28,credit,1
CcU-3106,251,CA617314077203880656677913,349547146395283,9733,209,%B1491494879325988^FhfgvwhNxaoik^7001543563?4,%B9821795210722817=03037207?7,01/24/28,credit,1
CcU-3113,250,CA677221078874085674566107,341834822877471,9011,287,%B9356731333359126^KwphyxlApsdpm^5512580246?1,%B3438596027194536=5306586553?2,12/26/28,credit,1
CcU-3120,249,CA839574469485674379802365,527646 533375 6577,7658,265,%B3818528147385482^IckpiwyJqrhxw^7006549231?7,%B6498697042095238=65091653?3,06/26/28,credit,1
CcU-3127,248,CA235211930919133066999079,4716 443 46 4368,8038,924,%B3061281355691188^XboirwxZppjpw^25063952?5,%B3251465561823891=72101965788?1,04/26/28,debit,1
CcU-3134,247,CA746537162262473661799854,5146 3453 9766 2168,7260,935,%B3134742282305614^IlelbtiVdryvp^9010905502? ,%B3656418879463739=76028361?5,08/25/28,prepaid,1
CcU-3141,246,CA769257917017649184738961,3775 626726 45261,2923,330,%B8611377716725740^CpqmvnuHoewpf^77113999494?4,%B5039905628783030=7506189198?6,01/27/28,debit,1
CcU-3148,245,CA738186647651510849937462,3733 238351 51810,2326,333,%B3850894620577086^LgcvdbzRtlitx^1111781657?5,%B7764681783461623=27121409691?9,05/29/28,prepaid,1
CcU-3155,244,CA830735984608535426213648,4532263578421,3015,779,%B3064783482720541^DfnufmsBsqnbl^1211335810?2,%B2405777428231362=70034329610?7,08/26/28,prepaid,1
CcU-3162,243,CA868103312240877210590488,455666 645685 4443,5898,603,%B5498898698181167^CccnoobIzefpf^4803809435?3,%B1576755550592858=82019964?3,09/28/28,credit,1
CcU-3169,242,CA236348669684520170964573,5396 2876 7721 4764,6102,420,%B2095731937263340^JqaoaeoWwjksf^7512910582?1,%B5846971757782788=63068377?7,11/27/28,credit,1
CcU-3176,241,CA117671238450339779578400,448538 587842 4778,4457,707,%B3465683739461216^RsaykcsTilvoy^3810405405?4,%B3564884486261123=98107061?1,12/25/28,debit,1
CcU-3183,240,CA633921270364105428214875,516318 373677 5641,6198,327,%B4574614077652221^AmbjrxwNmvepq^5009969935?5,%B6484301514841592=50121627?6,04/26/28,credit,1
CcU-3190,239,CA498027549121062667049860,4532 563 85 3433,4359,849,%B2774082824266692^EtjzluwVvaecc^66013048?5,%B8128372435316418=0611115983?2,07/26/28,credit,1
CcU-3197,238,CA227078843387996238702911,402 40071 75272 977,6921,562,%B5826658223264966^TjkaxjbGubeaw^68052983639? ,%B8277321581360179=3502153702? ,10/25/28,credit,1
CcU-3204,237,CA265306711035433966161304,4716486677272,5714,175,%B1529799845863921^KogvladLylxwa^94092176631?7,%B4534345047865612=76024825?2,12/27/28,debit,1
CcU-3211,236,CA927574676349558915215344,556665 6465764236,8013,321,%B3861369456354747^GpqpygjEihkry^07037757? ,%B8219512439498654=6708277213?6,12/28/28,debit,1
CcU-3218,235,CA240530044963836445742517,3423 966328 58736,9417,701,%B3457864142704154^RvsutefRhgvqg^5203723360?8,%B8251120257487471=28125082598?2,07/26/28,debit,1
CcU-3225,234,CA634562409430607919458654,453918 9241769620,1809,732,%B8424323650238236^RpygrngUmdwfl^0502319130?8,%B2711523186311753=01068234?8,05/27/28,premium_credit,1
