id,name,surname,phone,email,birth_date,country,city,postal_code,address,signup_date,user_segment,income_band
1,Zeus,Gamble,1-282-581-0551,interdum.enim@protonmail.edu,"Nov 17, 1985",United States,New York,10001,348-7818 Sagittis St.,2014-04-23,young_professional,high
2,Garrett,Mcconnell,(718) 257-2412,integer.vitae.nibh@protonmail.org,"Aug 23, 1992",United States,Philadelphia,19101,903 Sit Ave,2014-07-04,young_professional,high
3,Ciaran,Harrison,(522) 598-1365,interdum.feugiat@aol.org,"Apr 29, 1998",United States,Houston,77001,736-2063 Tellus St.,2014-02-15,frequent_shopper,high
4,Howard,Stafford,1-411-740-3269,ornare.egestas@icloud.edu,"Feb 18, 1989",United States,Phoenix,85001,Ap #545-2244 Erat. Rd.,2014-08-21,premium,high
5,Hayfa,Pierce,1-554-541-2077,et.malesuada.fames@hotmail.org,"Sep 26, 1998",United States,Philadelphia,19101,341-2821 Ultrices Av.,2013-04-28,frequent_shopper,high
6,Joel,Tyson,(718) 288-8020,gravida.nunc.sed@yahoo.ca,"Oct 15, 1989",United States,San Jose,95101,888-2799 Amet Street,2013-08-16,young_professional,medium
7,Rafael,Jimenez,(817) 689-0478,eget@outlook.ca,"Dec 4, 1981",United States,Chicago,60601,8627 Malesuada Rd.,2013-01-15,frequent_shopper,high
8,Nissim,Franks,(692) 157-3469,egestas.aliquam.fringilla@google.ca,"Aug 1, 1993",United States,New York,10001,Ap #251-7144 Integer St.,2013-02-16,young_professional,medium
9,Mannix,Mcclain,(590) 883-2184,aliquam.nisl@outlook.com,"Jan 24, 1987",United States,San Antonio,78201,647-3080 Lacus. St.,2014-02-15,young_professional,medium
10,Robert,Mccarthy,(324) 746-6771,fermentum@protonmail.com,"Apr 30, 1984",United States,San Jose,95101,P.O. Box 773,2013-10-19,premium,high
11,Joan,Baird,(981) 429-8106,et.11@outlook.net,"Feb 25, 1990",United States,Los Angeles,90001,P.O. Box 687,2013-01-11,premium,very_high
12,Benedict,Wheeler,1-515-824-2855,tincidunt.donec.vitae@hotmail.couk,"Aug 6, 1999",United States,Phoenix,85001,748-8694 Porttitor Avenue,2013-05-14,student,medium
13,Allegra,Stanton,1-927-753-6488,proin.eget@protonmail.ca,"May 19, 1990",United States,New York,10001,4457 Ante. Av.,2013-10-29,frequent_shopper,medium
14,Sara,Flynn,1-311-646-9333,integer@outlook.net,"Dec 27, 1988",United States,Los Angeles,90001,P.O. Box 865,2014-09-08,young_professional,medium
15,Noelani,Patrick,1-723-488-5894,sem.magna@google.com,"Sep 17, 1993",United States,Los Angeles,90001,596-5044 Sapien,2014-09-15,premium,high
16,Eric,Roth,1-218-549-8253,lorem.sit@yahoo.net,"Sep 7, 1988",United States,San Diego,92101,P.O. Box 541,2015-10-01,young_professional,medium
17,Bruce,Gill,(744) 732-8628,metus@aol.net,"Mar 4, 1990",United States,Houston,77001,Ap #836-9508 Vitae,2015-03-16,frequent_shopper,high
18,Russell,Jimenez,(657) 779-2438,orci@outlook.edu,"Aug 26, 1993",United States,Chicago,60601,4095 Quam Rd.,2014-08-27,occasional,medium
19,Nicholas,Travis,1-330-223-9652,libero.dui@hotmail.com,"Jul 15, 1981",United States,Los Angeles,90001,Ap #459-539 Lectus Avenue,2013-02-20,young_professional,high
20,Kelsey,Bates,(653) 724-4754,ullamcorper.nisl@aol.com,"May 6, 1981",United States,San Jose,95101,824-3624 Lacinia St.,2014-12-27,premium,very_high
21,Hall,Reeves,(241) 759-9235,erat.eget@hotmail.edu,"Jul 22, 1987",United States,Chicago,60601,Ap #745-5948 Sollicitudin St.,2014-02-24,frequent_shopper,low
22,Allistair,Holmes,1-265-323-0812,donec.tempor.est@protonmail.com,"Nov 5, 1990",United States,Dallas,75201,Ap #794-4229 Ante Rd.,2014-07-21,young_professional,medium
23,Kelsie,Bass,1-837-832-5631,consequat@google.ca,"Apr 2, 1990",United States,San Antonio,78201,407-7562 A,2014-03-07,family,low
24,Nolan,Cash,(273) 334-3785,nam@hotmail.com,"Sep 9, 1994",United States,Chicago,60601,501-2733 Luctus. Rd.,2014-03-12,premium,high
25,Wanda,Campbell,(702) 823-5535,sagittis@google.couk,"May 31, 1999",United States,Phoenix,85001,Ap #337-8747 Auctor. Ave,2014-07-29,young_professional,medium
26,Aquila,Strickland,1-246-231-5495,enim.sit@icloud.com,"Sep 28, 1982",United States,Philadelphia,19101,Ap #260-4612 Massa Road,2014-01-21,family,medium
27,Diana,Williamson,1-285-365-7779,id.nunc@google.com,"Dec 14, 1991",United States,Chicago,60601,362-9552 Sed Rd.,2013-12-13,occasional,medium
28,Elmo,Cain,1-663-583-6021,nec.metus.facilisis@google.org,"Oct 13, 1980",United States,New York,10001,P.O. Box 585,2015-02-02,occasional,low
29,Deacon,Sharpe,(312) 529-1643,hendrerit@icloud.net,"Sep 19, 1979",United States,Dallas,75201,672-9145 Ullamcorper,2013-06-29,frequent_shopper,medium
30,Martena,Blackwell,1-336-632-3280,at.nisi.cum@icloud.org,"Feb 21, 1987",United States,San Antonio,78201,641 Lacus. St.,2013-06-26,frequent_shopper,high
31,Francis,Bryant,(654) 360-7374,quisque.ac.libero@protonmail.edu,"Aug 17, 1992",United States,Phoenix,85001,P.O. Box 596,2014-10-28,young_professional,low
32,Chase,Yang,1-771-216-5335,pellentesque.eget@google.net,"Apr 23, 1999",United States,New York,10001,207-9951 Mi,2015-04-29,premium,very_high
33,Venus,Sanders,(679) 326-6342,nec.ante.maecenas@aol.com,"Jan 6, 1990",United States,Philadelphia,19101,4840 Lorem Rd.,2014-09-22,premium,high
34,Sopoline,Branch,1-557-503-3642,nec@yahoo.org,"Apr 8, 1979",United States,Dallas,75201,745 Vivamus Avenue,2013-12-26,young_professional,medium
35,Yvonne,Gibson,1-424-288-3275,risus@outlook.org,"Jan 7, 1993",United States,Chicago,60601,Ap #356-7162 Ligula Rd.,2016-03-10,family,medium
36,Raymond,Thornton,1-581-648-7426,enim.nisl@google.edu,"Dec 6, 1982",United States,San Diego,92101,746-3251 Aptent Avenue,2014-12-24,family,medium
37,Graiden,Glover,(888) 957-3868,non.hendrerit@hotmail.ca,"Nov 11, 1987",United States,Philadelphia,19101,Ap #497-8090 Vel Avenue,2013-11-01,family,low
